Country Name,2011,2012,2013,2014,,,,,
Equatorial Guinea,21357343682,22388344124,21948834290,21765453087,,,,,
Greece,2.82626E+11,2.42043E+11,2.3884E+11,2.35145E+11,,,,,
Grenada,778655925.9,799882259.3,842620111.1,911497407.4,,,,,
Greenland,2684467376,2609667674,2684952727,2842048998,,,,,
Guatemala,46876114650,49593961142,52996540704,57852399964,,,,,
Guam,4984000000,5265000000,5399000000,5610000000,,,,,
Guyana,3691384318,4063089192,4167800259,4127659492,,,,,
High income,4.91095E+13,4.91591E+13,4.97509E+13,5.08362E+13,,,,,
"Hong Kong SAR, China",2.48514E+11,2.62629E+11,2.75697E+11,2.91459E+11,,,,,
Honduras,17588098575,18400538859,18372173381,19618567250,,,,,
Heavily indebted poor countries (HIPC),5.59477E+11,5.79142E+11,6.50021E+11,6.87772E+11,,,,,
Croatia,63169910822,57192346923,58889082315,58330289757,,,,,
Haiti,13008754111,13708926466,14902474091,15139264670,,,,,
Hungary,1.42E+11,1.28857E+11,1.35733E+11,1.41079E+11,,,,,
IBRD only,2.36961E+13,2.51891E+13,2.66069E+13,2.75043E+13,,,,,
IDA & IBRD total,2.53687E+13,2.69547E+13,2.85276E+13,2.95592E+13,,,,,
IDA total,1.67251E+12,1.76543E+12,1.92073E+12,2.05496E+12,,,,,
IDA blend,8.14198E+11,9.00517E+11,9.77961E+11,1.04923E+12,,,,,
Indonesia,8.92969E+11,9.1787E+11,9.12524E+11,8.90815E+11,,,,,
IDA only,8.58491E+11,8.649E+11,9.42771E+11,1.00573E+12,,,,,
Isle of Man,6566098382,6690725118,7000748788,7708834951,,,,,
India,1.82305E+12,1.82764E+12,1.85672E+12,2.03913E+12,,,,,
Not classified,,,,,,,,,
Ireland,2.38663E+11,2.2551E+11,2.38212E+11,2.58625E+11,,,,,
"Iran, Islamic Rep.",5.80765E+11,5.98868E+11,4.60293E+11,4.32687E+11,,,,,
Iraq,1.8575E+11,2.18002E+11,2.34638E+11,2.28416E+11,,,,,
Iceland,15221622926,14751508134,16125060515,17867662178,,,,,
Israel,2.62294E+11,2.58417E+11,2.94167E+11,3.10945E+11,,,,,
Italy,2.29199E+12,2.08708E+12,2.14132E+12,2.15913E+12,,,,,
Jamaica,14444655300,14807086889,14264202737,13899228824,,,,,
Jordan,29524149155,31634561690,34454440141,36847643521,,,,,
Japan,6.23315E+12,6.27236E+12,5.21233E+12,4.89699E+12,,,,,
Kazakhstan,1.92627E+11,2.07999E+11,2.36635E+11,2.21416E+11,,,,,
Kenya,46869457318,56396706006,61671425370,68285768554,,,,,
Kyrgyz Republic,6197766119,6605139933,7335027592,7468096567,,,,,
Cambodia,12829541141,14054443213,15227991395,16702610842,,,,,
Kiribati,181705153.6,190243432.8,185114059.6,179703165.4,,,,,
St. Kitts and Nevis,817759259.3,800414814.8,839770370.4,916566666.7,,,,,
"Korea, Rep.",1.25322E+12,1.27843E+12,1.3708E+12,1.48432E+12,,,,,
Kuwait,1.54068E+11,1.7407E+11,1.74161E+11,1.62631E+11,,,,,
Latin America & Caribbean (excluding high income),5.31006E+12,5.28824E+12,5.43153E+12,5.46042E+12,,,,,
Lao PDR,8750107402,10192848926,11983252611,13279248479,,,,,
Lebanon,39927125961,44035991893,46909335551,48133414840,,,,,
Liberia,2398000000,2791614000,3177198100,3225652000,,,,,
Libya,34699395524,81873662519,65502870174,41142722414,,,,,
St. Lucia,1576988407,1605146778,1664816741,1755130815,,,,,
Latin America & Caribbean,6.08693E+12,6.15039E+12,6.30327E+12,6.42694E+12,,,,,
Least developed countries: UN classification,7.76258E+11,8.15688E+11,8.93888E+11,9.6335E+11,,,,,
Low income,4.03962E+11,3.84448E+11,3.95478E+11,4.23854E+11,,,,,
Liechtenstein,5739977477,5456009385,6391735894,6657170923,,,,,
Sri Lanka,65292753005,68434409315,74317806538,79356449841,,,,,
Lower middle income,5.93584E+12,6.23015E+12,6.34369E+12,6.59691E+12,,,,,
Low & middle income,2.42271E+13,2.57715E+13,2.73175E+13,2.8239E+13,,,,,
Lesotho,2579421686,2477702253,2367113170,2441053176,,,,,
Late-demographic dividend,1.64621E+13,1.76099E+13,1.8979E+13,1.97018E+13,,,,,
Lithuania,43535051482,42927454291,46523420074,48533659592,,,,,
Luxembourg,61615545000,59779802783,65184744717,68713294386,,,,,
Latvia,27474380566,28169902669,30204783462,31345148671,,,,,
"Macao SAR, China",36845925519,43189526778,51536304808,54903031138,,,,,
St. Martin (French part),,,,,,,,,
Morocco,1.0137E+11,98266306615,1.06826E+11,1.10081E+11,,,,,
Monaco,6088808463,5743029680,6555983530,7069616049,,,,,
Moldova,8414360656,8709165249,9496684701,9510219299,,,,,
Madagascar,11551819618,11578974888,12423555269,12522957228,,,,,
Maldives,2774351760,2886170572,3295011382,3697351597,,,,,
Middle East & North Africa,3.28758E+12,3.55745E+12,3.50865E+12,3.52466E+12,,,,,
Mexico,1.18049E+12,1.20109E+12,1.27444E+12,1.31535E+12,,,,,
Marshall Islands,172188500,180436300,184840400,182142800,,,,,
Middle income,2.3826E+13,2.53878E+13,2.69221E+13,2.78158E+13,,,,,
North Macedonia,10494632699,9745251126,10817712139,11362272838,,,,,
Mali,12995113407,12442036265,13242691430,14364937997,,,,,
Malta,9638916481,9462238211,10551661177,11626281387,,,,,
Myanmar,54118601975,58318677645,60572254371,63264891867,,,,,
Middle East & North Africa (excluding high income),1.56563E+12,1.69994E+12,1.57182E+12,1.54766E+12,,,,,
Montenegro,4544516982,4087725813,4464260489,4587928884,,,,,
Mongolia,10409797649,12292770631,12582122604,12226514722,,,,,
Northern Mariana Islands,729000000,746000000,772000000,832000000,,,,,
Mozambique,14381552433,16350804543,16974320551,17716084108,,,,,
Mauritania,6764635687,6728208836,7223063170,6592537782,,,,,
Mauritius,11518393367,11668685524,12129642296,12803445934,,,,,
Malawi,8004000737,6028487929,5518880769,6047813437,,,,,
Malaysia,2.97952E+11,3.14443E+11,3.23277E+11,3.38062E+11,,,,,
North America,1.73422E+13,1.80318E+13,1.86379E+13,1.93393E+13,,,,,
Namibia,12523402329,13042007432,12043276397,12435416060,,,,,
New Caledonia,10351448025,9659151909,10151382877,10635035550,,,,,
Niger,8772951262,9426913349,10224897935,10862944204,,,,,
Nigeria,4.04994E+11,4.55502E+11,5.08693E+11,5.46676E+11,,,,,
Nicaragua,9774262742,10532006608,10982979274,11880434071,,,,,
Netherlands,9.04086E+11,8.38971E+11,8.76924E+11,8.90981E+11,,,,,
Norway,4.98283E+11,5.09506E+11,5.22762E+11,4.9841E+11,,,,,
Nepal,21621710003,21703106502,22162208956,22731602970,,,,,
Nauru,66055407.67,96927201.48,98491843.64,104654365.2,,,,,
New Zealand,1.68291E+11,1.76207E+11,1.90907E+11,2.01313E+11,,,,,
OECD members,4.86108E+13,4.85801E+13,4.92306E+13,5.02639E+13,,,,,
Oman,77497529259,87408842653,89936020806,92699089727,,,,,
Other small states,3.96935E+11,4.14204E+11,4.32281E+11,4.46199E+11,,,,,
Pakistan,2.13587E+11,2.24384E+11,2.31219E+11,2.44361E+11,,,,,
Panama,34686224301,40429734384,45599994005,49921464365,,,,,
Peru,1.71762E+11,1.92649E+11,2.01175E+11,2.00789E+11,,,,,
Philippines,2.34217E+11,2.61921E+11,2.83903E+11,2.97483E+11,,,,,
Palau,196911100,212397800,221117200,241669800,,,,,
Papua New Guinea,17984910502,21295659244,21261432791,23210682538,,,,,
Poland,5.28301E+11,4.98524E+11,5.21016E+11,5.42477E+11,,,,,
Pre-demographic dividend,1.19964E+12,1.30639E+12,1.43583E+12,1.51129E+12,,,,,
Puerto Rico,1.00352E+11,1.01565E+11,1.0245E+11,1.02446E+11,,,,,
"Korea, Dem. People's Rep.",,,,,,,,,
Portugal,2.44797E+11,2.16237E+11,2.2637E+11,2.29596E+11,,,,,
Paraguay,33756238767,33296438306,38651334288,40377987209,,,,,
West Bank and Gaza,11186100000,12208400000,13515500000,13989700000,,,,,
Pacific island small states,7713181064,8186804963,8498136739,9226234551,,,,,
Post-demographic dividend,4.57868E+13,4.57368E+13,4.61909E+13,4.71328E+13,,,,,
French Polynesia,,,,,,,,,
Qatar,1.67775E+11,1.86834E+11,1.98728E+11,2.06225E+11,,,,,
Romania,1.83327E+11,1.70636E+11,1.90801E+11,1.99959E+11,,,,,
Russian Federation,2.04593E+12,2.2083E+12,2.29247E+12,2.05924E+12,,,,,
Rwanda,6881038270,7650300320,7815599503,8241332517,,,,,
South Asia,2.27455E+12,2.30009E+12,2.35961E+12,2.58456E+12,,,,,
Saudi Arabia,6.71239E+11,7.35975E+11,7.46647E+11,7.5635E+11,,,,,
Sudan,55018567211,37632919967,43024018082,49516748618,,,,,
Senegal,17814284622,17660871726,18918668644,19797254643,,,,,
Singapore,2.79351E+11,2.95087E+11,3.07576E+11,3.14851E+11,,,,,
Solomon Islands,1049952233,1190994127,1284698922,1335538893,,,,,
Sierra Leone,2942546781,3801862611,4920343195,5015157816,,,,,
El Salvador,20283780000,21386150000,21990960000,22593470000,,,,,
San Marino,1813752784,1604779648,1678841812,1673973695,,,,,
Somalia,,,4574495667,5021956321,,,,,
Serbia,49258136129,43309252921,48394239475,47062206678,,,,,
Sub-Saharan Africa (excluding high income),1.61294E+12,1.67682E+12,1.7837E+12,1.84843E+12,,,,,
South Sudan,14907308933,11931472169,18426469017,13962212847,,,,,
Sub-Saharan Africa,1.614E+12,1.67788E+12,1.78503E+12,1.84977E+12,,,,,
Small states,4.74317E+11,4.94442E+11,5.14124E+11,5.29896E+11,,,,,
Sao Tome and Principe,231489270.1,250680845.7,300554483.6,346528329.2,,,,,
Suriname,4422276622,4980000000,5145757576,5240606061,,,,,
Slovak Republic,99362720494,94258572686,98541305462,1.00955E+11,,,,,
Slovenia,51516366655,46580457470,48401896808,49930685013,,,,,
Sweden,5.74094E+11,5.52484E+11,5.86842E+11,5.81964E+11,,,,,
Eswatini,4820499924,4886533033,4597532030,4422968340,,,,,
Sint Maarten (Dutch part),936089385.5,985865921.8,1022905028,1245251397,,,,,
Seychelles,1065826670,1060226126,1328157609,1343007845,,,,,
Syrian Arab Republic,64315437939,42807315976,20345458471,21239000398,,,,,
Turks and Caicos Islands,728789570,727161000,754238000,841070000,,,,,
Chad,12172309523,12367363678,12953535496,13940768066,,,,,
East Asia & Pacific (IDA & IBRD countries),9.59585E+12,1.07053E+13,1.18132E+13,1.27349E+13,,,,,
Europe & Central Asia (IDA & IBRD countries),4.4448E+12,4.64105E+12,4.92093E+12,4.64659E+12,,,,,
Togo,3872459250,3873308389,4321655656,4574986537,,,,,
Thailand,3.70819E+11,3.97558E+11,4.20333E+11,4.07339E+11,,,,,
Tajikistan,6522732203,7633049792,8448469838,9112544556,,,,,
Turkmenistan,29233333333,35164210526,39197543860,43524210526,,,,,
Latin America & the Caribbean (IDA & IBRD countries),5.88516E+12,5.94253E+12,6.09059E+12,6.20969E+12,,,,,
